target,model,lag_months,window_months,n_predictions,rolling_rmse,rolling_mae,rolling_r2,directional_accuracy,sign_accuracy,target_family,baseline_gm2_rmse_same_lag,baseline_gm2_mae_same_lag,rmse_improvement_vs_same_lag_gm2,mae_improvement_vs_same_lag_gm2
WTI_GM2_path_residual,gm2_plus_ci,3,60,142,37.10292675496086,25.544466745275194,-0.142666600519175,0.5531914893617021,0.5563380281690141,gm2_path_residual,36.92175437020091,26.39428344715442,-0.004906927849186272,0.03219699839856219
WTI_GM2_path_residual,gm2_only,4,60,142,37.288312878732086,26.92579870093711,-0.1541138781266409,0.46099290780141844,0.528169014084507,gm2_path_residual,37.288312878732086,26.92579870093711,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,4,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,37.288312878732086,26.92579870093711,0.060574891265848224,0.09260729140661096
WTI_GM2_path_residual,gm2_plus_ci,4,60,142,37.429479066250174,25.59325248730272,-0.16286891360660638,0.5035460992907801,0.5492957746478874,gm2_path_residual,37.288312878732086,26.92579870093711,-0.0037858024839360436,0.049489570520632825
WTI_GM2_path_residual,gm2_only,5,60,142,37.408845429733596,27.193671991080592,-0.16158716448965782,0.3191489361702128,0.5070422535211268,gm2_path_residual,37.408845429733596,27.193671991080592,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,5,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,37.408845429733596,27.193671991080592,0.06360175038245167,0.10154563082553314
WTI_GM2_path_residual,gm2_plus_ci,5,60,142,37.05708870722918,25.00253100477641,-0.13984497665626106,0.48226950354609927,0.5563380281690141,gm2_path_residual,37.408845429733596,27.193671991080592,0.009403036059082241,0.08057539956438635
WTI_GM2_path_residual,gm2_only,6,60,142,37.33606396382442,27.240945082277094,-0.15707166691113272,0.375886524822695,0.4788732394366197,gm2_path_residual,37.33606396382442,27.240945082277094,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,6,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,37.33606396382442,27.240945082277094,0.061776372181150556,0.10310478067153142
WTI_GM2_path_residual,gm2_plus_ci,6,60,142,36.64555569068445,24.774768843606935,-0.1146687320576325,0.475177304964539,0.5704225352112676,gm2_path_residual,37.33606396382442,27.240945082277094,0.01849440460057639,0.0905319632348089
WTI_GM2_path_residual,gm2_only,7,60,142,37.106488996202515,27.21414554745324,-0.14288602523023708,0.36879432624113473,0.4295774647887324,gm2_path_residual,37.106488996202515,27.21414554745324,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,7,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,37.106488996202515,27.21414554745324,0.055971655410435216,0.102221549756865
WTI_GM2_path_residual,gm2_plus_ci,7,60,142,36.200877836579515,24.460746118232443,-0.08778082546884192,0.475177304964539,0.5774647887323944,gm2_path_residual,37.106488996202515,27.21414554745324,0.024405735603702093,0.10117530327820508
